Gene	Alteration	Origin	Entities	Comments	Reference	RefGene Group
HLA-A	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HLF	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HMGA1	Translocation; ; ; ; ; 	Somatic; 	[microfollicular thyroid adenoma, various benign mesenchymal tumours]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HMGA2	Translocation; ; ; ; ; 	Somatic; 	[lipoma, leiomyoma, pleomorphic salivary gland adenoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HMGN2P46	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HNF1A	Missense; Frameshift; ; ; ; 	Somatic; Germline	[hepatic adenoma, hepatocellular]; [hepatic adenoma, hepatocellular carcinoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HNRNPA2B1	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HOOK3	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HOXA11	Translocation; ; ; ; ; 	Somatic; 	[CML]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HOXA13	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HOXA9	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HOXC11	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HOXC13	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HOXD11	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HOXD13	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HRAS	Missense; ; ; ; ; 	Somatic; Germline	[infrequent sarcomas, rare other tumour types]; [rhabdomyosarcoma, ganglioneuroblastoma, bladder]	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HSP90AA1	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
HSP90AB1	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ID3	Missense; Nonsense; ; ; ; 	Somatic; 	[Burkitt lymphoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IDH1	Missense; ; ; ; ; 	Somatic; 	[glioblastoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IDH2	Missense; ; ; ; ; 	Somatic; 	[glioblastoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IGF2BP2	Deletion; ; ; ; ; 	Somatic; 	[lymphoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IGH	Translocation; ; ; ; ; 	Somatic; 	[MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IGK	Translocation; ; ; ; ; 	Somatic; 	[Burkitt lymphoma, B-NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IGL	Translocation; ; ; ; ; 	Somatic; 	[Burkitt lymphoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IKBKB	Missense; ; ; ; ; 	Somatic; 	[SMZL]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IKZF1	Deletion; Translocation; ; ; ; 	Somatic; 	[ALL, DLBCL]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IKZF3	Deletion; Missense; Frameshift; Nonsense; Translocation; 	Somatic; 	[B-ALL, CLL, breast cancer, colorectal cancer]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IL2	Translocation; ; ; ; ; 	Somatic; 	[intestinal T-cell lymphoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IL21R	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IL6ST	Other; ; ; ; ; 	Somatic; 	[hepatocellular carcinoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IL7R	Missense; Other; ; ; ; 	Somatic; 	[ALL, ETP ALL]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IRF4	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
IRS4	Missense; Frameshift; Translocation; ; ; 	Somatic; 	[glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ISX	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ITGAV	Frameshift; ; ; ; ; 	Somatic; 	[large intestine carcinoma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ITK	Translocation; ; ; ; ; 	Somatic; 	[peripheral T-cell lymphoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
JAK1	Missense; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
JAK2	Translocation; Missense; Other; ; ; 	Somatic; 	[ALL, AML, MPN,  CML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
JAK3	Missense; ; ; ; ; 	Somatic; 	[acute megakaryocytic leukaemia, ETP ALL]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
JAZF1	Translocation; ; ; ; ; 	Somatic; 	[endometrial stromal tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
JUN	Amplication; ; ; ; ; 	Somatic; 	[sarcoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KAT6A	Translocation; Amplification; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KAT6B	Translocation; ; ; ; ; 	Somatic; 	[AML, leiomyoma]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KAT7	Missense; ; ; ; ; 	Somatic; 	[CCRCC]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KCNJ5	Missense; ; ; ; ; 	Somatic; 	[adrenal adenoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KDM5A	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KDM5C	Nonsense; Frameshift; Splice site; Missense; ; 	Somatic; 	[clear cell renal carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KDM6A	Deletion; Nonsense; Frameshift; Splice site; ; 	Somatic; 	[renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KDR	Missense; ; ; ; ; 	Somatic; Germline	[NSCLC, angiosarcoma]; [melanoma]	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KDSR	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KEAP1	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[NSCLC, breast carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KIAA1549	Translocation; ; ; ; ; 	Somatic; 	[pilocytic astrocytoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KIF5B	Translocation; ; ; ; ; 	Somatic; 	[NSCLC, Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KIT	Missense; Other; ; ; ; 	Somatic; Germline	[GIST, AML, TGCT, mastocytosis, mucosal melanoma]; [GIST, epithelioma]	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KLF4	Missense; ; ; ; ; 	Somatic; 	[meningioma]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KLF6	Missense; Nonsense; ; ; ; 	Somatic; 	[prostate, glioma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KLK2	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KMT2A	Translocation; Other; ; ; ; 	Somatic; 	[AML, ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KMT2C	Nonsense; ; ; ; ; 	Somatic; 	[medulloblastoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KMT2D	Nonsense; Frameshift; Missense; ; ; 	Somatic; 	[medulloblastoma, renal]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KNL1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KNSTRN	Missense; ; ; ; ; 	Somatic; 	[SCC]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KRAS	Missense; ; ; ; ; 	Somatic; 	[pancreatic, colorectal, lung, thyroid, AML, other tumour types]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
KTN1	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LARP4B	Frameshift; Deletion; ; ; ; 	Somatic; 	[CRC, glioma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LASP1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LATS1	Missense; Nonsense; ; ; ; 	Somatic; 	[skin basal cell carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LATS2	Deletion; Frameshift; Nonsense; ; ; 	Somatic; 	[malignant mesothelioma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LCK	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LCP1	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LEF1	Missense; Nonsense; ; ; ; 	Somatic; 	[B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LEPROTL1	Deletion; ; ; ; ; 	Somatic; 	[lung cancer, colon cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LHFPL6	Translocation; ; ; ; ; 	Somatic; 	[lipoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LIFR	Translocation; ; ; ; ; 	Somatic; 	[salivary adenoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LMNA	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LMO1	Translocation; Amplification; ; ; ; 	Somatic; Germline	[T-ALL, neuroblastoma]; [neuroblastoma]	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LMO2	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LPP	Translocation; ; ; ; ; 	Somatic; 	[lipoma, leukaemia]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LRIG3	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LRP1B	Deletion; Missense; Nonsense; Frameshift; ; 	Somatic; 	[CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LSM14A	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LYL1	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LYN	Missense; Translocation; ; ; ; 	Somatic; 	[DLBCL, B-ALL, MPN]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
LZTR1	Missense; Frameshift; Nonsense; ; ; 	Somatic; Germline	[glioblastoma]; [glioblastoma, schwannoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MACC1	Missense; ; ; ; ; 	Somatic; 	[liver, CRC]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAF	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAFB	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MALAT1	Translocation; ; ; ; ; 	Somatic; 	[renal cell carcinoma (childhood epithelioid), lung]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MALT1	Translocation; ; ; ; ; 	Somatic; 	[MALT]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAML2	Translocation; ; ; ; ; 	Somatic; 	[salivary gland mucoepidermoid]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAP2K1	Missense; ; ; ; ; 	Somatic; 	[NSCLC, melanoma, colorectal]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAP2K2	Missense; ; ; ; ; 	Somatic; 	[NSCLC, melanoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAP2K4	Deletion; Missense; Nonsense; ; ; 	Somatic; 	[pancreatic, breast, colorectal]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAP3K1	Nonsense; Frameshift; Missense; Other; Splice site; 	Somatic; 	[luminal A breast]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAP3K13	Frameshift; ; ; ; ; 	Somatic; 	[breast]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAPK1	Missense; ; ; ; ; 	Somatic; 	[CLL, ovarian mixed germ cell tumour, cervical carcinoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MAX	Missense; Nonsense; Frameshift; ; ; 	Somatic; Germline	[pheochromocytoma, endometrioid carcinoma, colon carcinoma]; [pheochromocytoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MB21D2	Missense; ; ; ; ; 	Somatic; 	[lung cancer]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MDM2	Amplication; ; ; ; ; 	Somatic; 	[sarcoma, glioma, colorectal, other tumour types]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MDM4	Amplication; ; ; ; ; 	Somatic; 	[glioblastoma, bladder, retinoblastoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MDS2	Translocation; ; ; ; ; 	Somatic; 	[MDS]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MECOM	Translocation; ; ; ; ; 	Somatic; 	[AML, CML, MDS]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MED12	Missense; Splice site; Other; ; ; 	Somatic; 	[uterine leiomyoma, fibroadenoma, phyllodes tumour]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MEN1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[parathyroid tumours, pancreatic neuroendocrine tumour]; [parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MET	Missense; ; ; ; ; 	Somatic; 	[papillary renal, head-neck squamous cell]; [papillary renal]	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MGMT	Deletion; ; ; ; ; 	Somatic; 	[glioma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MITF	Amplication; ; ; ; ; 	Somatic; 	[melanoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MLF1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MLH1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[colorectal, endometrial, ovarian, CNS tumours]; [colorectal, endometrial, ovarian, CNS]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MLLT1	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MLLT10	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MLLT11	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MLLT3	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MLLT6	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MN1	Translocation; ; ; ; ; 	Somatic; 	[AML, MDS]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MNX1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MPL	Missense; ; ; ; ; 	Somatic; Germline	[MPN]; [MPN]	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MRTFA	Translocation; ; ; ; ; 	Somatic; 	[acute megakaryocytic leukaemia]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MSH2	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[colorectal, endometrial, ovarian]; [colorectal, endometrial, ovarian]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MSH6	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[colorectal]; [colorectal, endometrial, ovarian]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MSI2	Translocation; ; ; ; ; 	Somatic; 	[CML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MSN	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MTCP1	Translocation; ; ; ; ; 	Somatic; 	[T cell prolymphocytic leukaemia]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MTOR	Missense; Nonsense; ; ; ; 	Somatic; 	[endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MUC1	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MUC16	Missense; ; ; ; ; 	Somatic; 	[HNSCC, melanoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MUC4	Missense; Other; ; ; ; 	Somatic; 	[HNSCC]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MUTYH	Missense; ; ; ; ; 	; Germline	[]; [colorectal]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYB	Translocation; ; ; ; ; 	Somatic; 	[adenoid cystic carcinoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYC	Amplication; Translocation; ; ; ; 	Somatic; 	[Burkitt lymphoma, amplified in other cancers, B-CLL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYCL	Amplication; ; ; ; ; 	Somatic; 	[small cell lung carcinoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYCN	Amplication; Missense; ; ; ; 	Somatic; 	[neuroblastoma, Wilms tumour]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYD88	Missense; ; ; ; ; 	Somatic; 	[ABC-DLBCL]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYH11	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYH9	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYO5A	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
MYOD1	Missense; ; ; ; ; 	Somatic; 	[embryonal rhabdomyosarcoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
N4BP2	Deletion; ; ; ; ; 	Somatic; 	[lung cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NAB2	Translocation; ; ; ; ; 	Somatic; 	[solitary fibrous tumour, meningeal haemangiopericytoma]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NACA	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NBEA	Frameshift; Translocation; ; ; ; 	Somatic; 	[large intestine carcinoma, multiple myeloma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NBN	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [NHL, glioma, medulloblastoma, rhabdomyosarcoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NCKIPSD	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NCOA1	Translocation; ; ; ; ; 	Somatic; 	[alveolar rhabdomyosarcoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NCOA2	Translocation; ; ; ; ; 	Somatic; 	[AML, chondrosarcoma, rhabdomyosarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NCOA4	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NCOR1	Missense; Frameshift; Nonsense; Other; ; 	Somatic; 	[breast]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NCOR2	Missense; Frameshift; Nonsense; Other; ; 	Somatic; 	[prostate]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NDRG1	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NF1	Deletion; Missense; Nonsense; Frameshift; Splice site; Other	Somatic; Germline	[neurofibroma, glioma]; [neurofibroma, glioma]	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NF2	Deletion; Missense; Nonsense; Frameshift; Splice site; Other	Somatic; Germline	[meningioma, acoustic neuroma, renal]; [meningioma, acoustic neuroma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NFATC2	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NFE2L2	Missense; ; ; ; ; 	Somatic; 	[NSCLC, HNSCC]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NFIB	Translocation; ; ; ; ; 	Somatic; 	[adenoid cystic carcinoma, lipoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NFKB2	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NFKBIE	Frameshift; Missense; ; ; ; 	Somatic; 	[CLL, desmoplastic melanoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NIN	Translocation; ; ; ; ; 	Somatic; 	[MPN]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NKX2-1	Amplication; ; ; ; ; 	Somatic; 	[NSCLC]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NONO	Translocation; ; ; ; ; 	Somatic; 	[papillary renal]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NOTCH1	Translocation; Missense; Other; ; ; 	Somatic; 	[T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NOTCH2	Nonsense; Frameshift; Missense; ; ; 	Somatic; 	[marginal zone lymphoma, DLBCL, bladder]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
NPM1	Translocation; Frameshift; ; ; ; 	Somatic; 	[NHL, APL, AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
