Gene	Alteration	Origin	Entities	Comments	Reference	RefGene Group
DDX5	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DDX6	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DEK	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DGCR8	Missense; ; ; ; ; 	Somatic; 	[Wilms tumour]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DICER1	Missense; Frameshift; Nonsense; ; ; 	Somatic; Germline	[sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types]; [pleuropulmonary blastoma]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DNAJB1	Translocation; ; ; ; ; 	Somatic; 	[fibrolamellar hepatocellular carcinoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DNM2	Frameshift; Nonsense; Splice site; Missense; Other; 	Somatic; 	[T-ALL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DNMT3A	Missense; Frameshift; Nonsense; Splice site; ; 	Somatic; 	[AML]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DROSHA	Amplication; Missense; Nonsense; Frameshift; ; 	Somatic; 	[Wilms tumour, NSCLC, bladder carcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
DUX4L1	Translocation; ; ; ; ; 	Somatic; 	[soft tissue sarcoma]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EBF1	Translocation; ; ; ; ; 	Somatic; 	[lipoma]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ECT2L	Nonsense; Splice site; Missense; ; ; 	Somatic; 	[ETP ALL]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EED	Missense; Frameshift; ; ; ; 	Somatic; 	[malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EGFR	Amplication; Other; Missense; ; ; 	Somatic; Germline	[glioma, NSCLC]; [NSCLC]	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EIF1AX	Missense; Splice site; ; ; ; 	Somatic; 	[uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EIF3E	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EIF4A2	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ELF3	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[pancreatic cancer]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ELF4	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ELK4	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ELL	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ELN	Translocation; ; ; ; ; 	Somatic; 	[B-ALL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EML4	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EP300	Translocation; Nonsense; Frameshift; Missense; Other; 	Somatic; 	[colorectal, breast, pancreatic, AML, ALL, DLBCL]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EPAS1	Missense; ; ; ; ; 	Somatic; 	[paraganglioma, pheochromocytoma, central nervous system hemangioblastomas]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EPHA3	Missense; ; ; ; ; 	Somatic; 	[lung cancer, CRC, melanoma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EPHA7	Missense; ; ; ; ; 	Somatic; 	[CRC, melanoma]; []		COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
EPS15	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	TSG, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ERBB2	Amplication; Missense; Other; ; ; 	Somatic; 	[breast, ovarian, other tumour types, NSCLC, gastric]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
ERBB3	Missense; Nonsense; ; ; ; 	Somatic; 	[colon, gastric, head and neck, bladder, skin]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
